"","X","Y","Z"
"1969-12-31 19:00:01",-3923.64965820312,5376.833984375,-98.7780456542969
"1969-12-31 19:00:02",-3941.25170898438,5286.873046875,-140.444717407227
"1969-12-31 19:00:03",-3958.85400390625,5196.912109375,-182.111389160156
"1969-12-31 19:00:04",-3959.2294921875,5194.99365234375,-183
"1",-3959.2294921875,5194.99365234375,-183
"2",-3972.02124023438,5144.8583984375,-181
"3",-3976.20068359375,5133.83203125,-181
"4",-3981.13745117188,5123.1484375,-181
"5",-3986.67651367188,5112.7373046875,-181
"6",-3986.39922343411,5118.39011743142,-182.635161271089
"7",-4070.54895041139,4994.91109272599,-180.516259675511
"8",-4154.69867738867,4871.43206802055,-181.283160362511
"9",-4068.43163044337,4972.2822324533,-180.91422747422
"10",-3894.57939464591,4963.00076850394,-180.865203458904
"11",-3906.85443855451,4953.71930455459,-180.816179443588
"12",-3898.65951874232,4944.43784060524,-180.976524163996
"13",-3931.40312538611,4935.15637665588,-183.600041062571
"14",-3910.85148248742,4925.87491270653,-183.371699568508
"15",-3966.86764974487,4916.59344875717,-183.143358074446
"16",-4022.88381700232,4907.31198480782,-182.915016580383
"17",-4078.89998425977,4898.03052085847,-182.68667508632
"18",-4134.91615151721,4888.74905690911,-182.458333592257
"19",-3908.47283685721,5122.39696666033,-182.229992098194
"20",-3918.16710769469,5052.97889364129,-182.001650604131
"21",-3986.90815224621,5005.20121035449,-181.773309110068
"22",-4055.64919679772,4957.42352706768,-181.544967616005
"23",-4124.39024134924,4909.64584378088,-181.316626121942
"24",-4193.13128590075,4861.86816049407,-181.088284627879
"25",-4148.08177827121,4934.37378225599,-180.859943133817
"26",-4106.74277795623,4976.25712307999,-181.482768720533
"27",-4096.13221505464,4946.57296754243,-181.482768720533
"110",-4160.9169921875,4888.83935546875,-176.726119995117
"210",-4168.35107421875,4879.6328125,-175.727691650391
"310",-4175.7431640625,4870.392578125,-173.55534362793
"410",-4183.0869140625,4861.1142578125,-169.067337036133
"510",-4190.37841796875,4851.79443359375,-164.582366943359
"610",-4196.99475173713,4833.71801444817,-161.772960621661
"710",-4198.23883730403,4833.89567089658,-160.801343497203
"810",-4200.27278099865,4832.23325852291,-158.872297108247
"91",-4203.37565476655,4829.46879468486,-156.345510406175
"101",-4192.92701873546,4856.95528930041,-157.773665967115
"111",-4187.10418958968,4868.44017662516,-156.791471356302
"121",-4186.95837556817,4858.90467859378,-157.208264041261
