"x","y"
-16,5
-16,5
-16,5
-16,5
-16,5
-16,5
-16,5
-16,5
-16,5
-16,5
-16,5
-16,5
-16,5
-16,5
-16,5
-16,5
-16,5
-16,5
-16,5
-16,5
-16,5
-16,5
-16,5
-15.83235,4.999265
-15.66621,4.998055
-15.33309,4.99369
-15.16822,4.990341
-15.00223,4.986007
-14.83422,4.980512
-14.66755,4.973845
-14.33511,4.956438
-14.16812,4.945373
-14.00106,4.932584
-13.83565,4.918111
-13.66996,4.901672
-13.33903,4.862509
-13.17406,4.839574
-13.0093,4.814219
-12.84498,4.786479
-12.68097,4.756333
-12.35622,4.689322
-12.19189,4.651635
-12.03011,4.612051
-11.86941,4.570252
-11.70789,4.525709
-11.38941,4.430379
-11.23112,4.379219
-11.07411,4.325951
-10.9177,4.270347
-10.75932,4.211396
-10.4492,4.088195
-10.29561,4.023262
-10.1438,3.956475
-9.991714,3.886897
-9.841284,3.815416
-9.544506,3.666391
-9.393995,3.586606
-9.250241,3.507879
-9.104747,3.425697
-8.960541,3.341871
-8.675426,3.169548
-8.534506,3.08134
-8.394258,2.991697
-8.253921,2.900253
-8.114657,2.807906
-7.839253,2.621073
-7.702199,2.526264
-7.565957,2.430989
-7.429032,2.334337
-7.293519,2.237942
-7.022661,2.043627
-6.887745,1.946313
-6.752901,1.8489
-6.617206,1.750871
-6.481552,1.652871
-6.212955,1.458242
-6.078696,1.360363
-5.944882,1.262216
-5.810058,1.16257
-5.676672,1.063087
-5.411788,0.8625227
-5.277497,0.7595944
-5.146077,0.6582623
-5.013772,0.5557855
-4.882128,0.4535157
-4.619188,0.2489392
-4.487778,0.146697
-4.355933,0.04411703
-4.224324,-0.05827869
-4.093149,-0.1603367
-3.829696,-0.3653123
-3.698246,-0.4675853
-3.566796,-0.5698582
-3.435227,-0.6722232
-3.30421,-0.7741584
-3.041074,-0.9788885
-2.908991,-1.081653
-2.777541,-1.183926
-2.645972,-1.286291
-2.514797,-1.388348
-2.252252,-1.592618
-2.120842,-1.69486
-1.988366,-1.797931
-1.856678,-1.900389
-1.725188,-2.002692
-1.464025,-2.205887
-1.332417,-2.308283
-1.199901,-2.411385
-1.06707,-2.514732
-0.9355014,-2.617097
-0.6726797,-2.821582
-0.5414665,-2.92367
-0.4102918,-3.025728
-0.2785258,-3.128247
-0.1474707,-3.230213
0.1146012,-3.434114
0.2539439,-3.542527
0.3800277,-3.640625
0.5104125,-3.742069
0.6424938,-3.844833
0.9059076,-4.049778
1.036568,-4.151436
1.169636,-4.254968
1.299942,-4.356351
1.432852,-4.45976
1.694608,-4.663415
1.826057,-4.765688
1.959718,-4.86968
2.089391,-4.970572
2.220921,-5.072906
2.484571,-5.278035
2.616179,-5.380431
2.748183,-5.483133
2.879988,-5.585682
3.010846,-5.687495
3.273469,-5.891825
3.405196,-5.994313
3.536253,-6.096279
3.668453,-6.199135
3.799864,-6.301377
4.06308,-6.506168
4.19449,-6.60841
4.325901,-6.710652
4.457036,-6.81268
4.588643,-6.915075
4.850984,-7.119037
4.983366,-7.221575
5.115061,-7.323123
5.247169,-7.42438
5.379564,-7.525098
5.647624,-7.726099
5.781869,-7.825015
5.916635,-7.922961
6.052477,-8.020184
6.188108,-8.115632
6.46369,-8.304068
6.602685,-8.396096
6.74149,-8.485856
6.883069,-8.575082
7.025917,-8.662645
7.311882,-8.830209
7.458758,-8.912074
7.605268,-8.990969
7.753039,-9.067795
7.901959,-9.142487
8.202244,-9.285009
8.354043,-9.353048
8.507367,-9.419106
8.662939,-9.483439
8.818274,-9.545036
9.136337,-9.663602
9.287221,-9.716687
9.4705,-9.778429
9.602149,-9.821452
9.761888,-9.871851
10.08037,-9.967525
10.24229,-10.01398
10.40243,-10.05866
10.56164,-10.10198
10.72405,-10.14514
11.04829,-10.22879
11.20868,-10.26917
11.36934,-10.30913
11.531,-10.34896
11.6933,-10.3887
12.01846,-10.46806
12.18007,-10.5075
12.34192,-10.547
12.50396,-10.58655
12.66528,-10.62592
12.99735,-10.7071
13.15178,-10.74515
13.31312,-10.78528
13.47482,-10.82599
13.63627,-10.86727
13.95827,-10.95196
14.12548,-10.99748
14.28546,-11.04216
14.4384,-11.08602
14.59807,-11.1332
14.91746,-11.23226
15.07687,-11.28434
15.23485,-11.33786
15.39219,-11.39322
15.52511,-11.42684
15.75733,-11.44974
15.81534,-11.2924
15.93429,-11.22391
16.08173,-11.19183
16.24265,-11.18696
16.56091,-11.27986
16.71275,-11.3467
16.86458,-11.4142
17.02318,-11.48527
17.17383,-11.55318
17.32011,-11.61936
17.32011,-11.61936
