"x","y"
-770,100
-768.031819,99.634154
-765.66727,98.953539
-761.392657,97.264495
-757.072203,95.470026
-754.329483,94.449254
-751.53982,93.531179
-748.392768,92.549372
-745.079434,91.534182
-741.729055,90.592633
-737.535786,89.437773
-733.063153,88.320482
-728.368282,87.162254
-723.238753,85.899259
-717.74977,84.681023
-712.589622,83.536047
-700.83533,80.927756
-687.723261,78.560095
-673.918675,76.907618
-659.267813,75.385692
-644.902695,73.57119
-631.503965,71.196267
-617.539817,68.064518
-604.475427,64.745657
-590.232004,61.314276
-575.407388,58.121566
-561.297468,55.607525
-547.292425,53.512314
-532.373767,51.82798
-517.371948,51.0219
-500.86014,50.204221
-487.275779,49.089502
-480.74775,48.552498
-466.545717,47.914847
-459.07982,47.680345
-451.75356,47.578958
-444.259862,47.716436
-437.692001,48.041085
-430.428755,48.384067
-420.762315,48.809113
-407.084818,48.989037
-393.223056,49.738703
-379.200903,51.337638
-365.919689,53.867623
-352.004494,56.763846
-338.481116,59.213639
-324.60612,60.966018
-311.363009,62.839409
-304.485731,64.015409
-297.927861,65.356537
-291.153108,66.926829
-278.131743,70.698852
-270.908516,72.939465
-264.059418,75.326187
-257.207471,77.979123
-250.691113,80.837488
-244.127105,84.183516
-238.473873,87.677766
-232.342555,92.333842
-226.84666,96.898351
-220.809425,102.019571
-214.723655,107.155229
-207.827271,113.245071
-201.826463,119.18502
-196.63326,124.607732
-191.68985,130.137752
-187.197613,135.50642
-178.975514,146.752722
-174.334471,153.645245
-170.394497,160.131603
-166.74098,166.841723
-163.430133,173.91776
-160.745437,180.676238
-158.515527,187.455996
-156.589606,194.961664
-155.442522,202.394673
-154.757526,210.371778
-154.593356,218.492918
-155.014198,226.146115
-155.896171,233.415447
-157.141393,240.295469
-158.741409,247.240153
-160.382686,253.618451
-162.258131,259.989175
-164.412678,266.299917
-167.184197,273.229895
-170.302838,280.040525
-173.520058,286.387927
-177.200809,293.115034
-181.012913,299.652925
-184.993258,306.032418
-188.91256,311.718607
-193.321688,317.509547
-197.756369,322.874498
-202.999692,328.478204
-208.939905,334.089325
-214.246452,338.653581
-219.719772,343.013566
-225.871441,347.607211
-231.466638,351.438353
-237.369156,355.093595
-243.457438,358.409738
-249.799817,361.364966
-256.494938,363.986751
-263.844246,366.318361
-270.392225,368.0727
-277.078975,369.466752
-283.997337,370.496377
-291.173577,371.130488
-297.883016,371.346618
-305.250715,371.138385
-311.792114,370.708035
-322.144296,369.613544
-330.288804,368.493661
-337.048999,367.270281
-343.689717,365.780658
-350.813825,363.80822
-357.739287,361.630783
-364.243246,359.431865
-370.743269,357.147885
-377.339888,354.759501
-384.111422,351.857538
-390.726093,348.499146
-397.030409,345.054936
-402.947393,341.773547
-409.577032,338.132304
-415.909602,334.619856
-421.46046,331.280869
-427.374096,327.613381
-433.59016,323.561233
-440.313114,318.976388
-446.274213,314.903843
-452.677545,310.617579
-458.559705,306.644091
-464.903164,301.970309
-470.577867,297.615412
-476.273234,293.1937
